time,x,y,z,gforce
5.514,0.03,0.01,-0.19
5.543,-0.11,0.01,-0.24
5.559,-0.00,0.01,-0.20
5.579,-0.52,2.04,-1.86
5.612,-0.08,-1.21,5.67
5.644,-0.01,1.08,3.77
5.665,0.97,1.35,1.04
5.679,0.29,0.28,1.05
5.695,1.09,-0.17,1.93
5.710,0.27,0.42,-2.26
5.742,-0.77,-0.28,-5.29
5.759,-2.11,-0.86,1.46
5.774,0.46,-0.04,1.42
5.789,1.45,0.44,-0.51
5.820,1.25,0.20,-0.83
5.834,0.14,-0.09,-0.50
5.845,-1.07,0.12,-0.07
5.867,-0.62,-0.07,-0.22
5.914,0.19,-0.15,-0.27
5.934,0.46,-0.09,-0.26
5.936,0.34,-0.02,-0.20
5.948,-0.02,0.02,-0.08
5.975,-0.19,0.01,-0.46
6.017,-0.22,-0.02,-0.43
6.033,-0.03,0.01,-0.20
6.063,0.26,0.03,-0.04
6.088,0.20,0.01,-0.23
6.107,0.05,0.01,-0.28
6.131,-0.10,0.01,-0.20
6.150,-0.08,0.01,-0.26
6.161,-0.01,0.01,-0.20
6.173,0.04,0.04,-0.19
6.191,0.03,0.01,-0.20
6.224,-0.00,0.01,-0.16
6.237,-0.02,0.00,-0.15
6.257,1.43,-0.17,-1.05
6.276,-0.78,-1.52,5.11
6.294,-0.51,0.23,3.58
6.329,1.03,1.02,0.26
6.343,0.86,0.47,0.89
6.381,0.61,-0.36,1.36
6.391,-0.35,-0.28,-1.33
6.417,-1.53,-0.38,-3.39
6.643,-1.05,-0.32,-1.70
6.645,0.67,-0.02,1.00
6.650,1.15,0.27,0.55
6.651,1.00,0.21,-0.03
6.654,0.24,0.16,-0.27
6.655,-0.82,0.26,-0.53
6.657,-0.65,0.08,-0.33
6.659,-0.21,-0.03,-0.24
6.660,0.67,-0.08,-0.04
6.661,0.40,-0.08,-0.13
6.670,-0.11,0.12,-0.27
6.671,-0.33,0.11,-0.31
6.696,-0.17,0.00,-0.31
6.720,0.01,-0.00,-0.01
6.731,0.33,0.09,-0.05
6.746,0.27,0.04,-0.26
6.775,-0.01,-0.01,-0.22
6.810,-0.16,-0.00,-0.16
6.821,-0.18,0.01,-0.23
6.839,0.01,0.05,-0.26
6.858,0.13,0.08,-0.08
6.881,0.11,0.08,-0.20
6.910,0.05,-0.00,-0.23
6.944,-0.03,-0.01,-0.20
6.970,-0.03,0.00,-0.11
6.971,-0.00,0.01,-0.17
6.982,0.35,-1.65,4.71
7.000,2.20,-3.69,5.87
